id_fato,submission_id,created_at,duracao_segundos,clima,origem,versao_form,description,id_user_tipo,user_tipo,id_emocao_atual,emocao_atual,intensidade_atual,id_emocao_maioria,emocao_maioria,intensidade_maioria,id_emocao_ultimo,emocao_ultimo,intensidade_ultimo,id_causa,causa,pulou_causa
164,810283b7-6f39-4639-beb3-6573afec8be3,2025-10-23 23:06:04.056393+00,68,null,null,v2.0.0,"Estou cansado e com raiva desses filhos da puta do meu grupo que não fazem merda nenhuma desejo tudo de ruim para eles, me recuso a carregar antas",2,Aluno,4,INDIFERENÇA,5,5,RAIVA,5,5,RAIVA,5,2,ESTUDO,false
163,807b8f17-ee94-499a-bf41-9ead94f5cfc7,2025-10-23 23:04:35.837976+00,46,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,2,4,INDIFERENÇA,5,2,OTIMISMO,2,2,ESTUDO,false
162,b81012fd-6734-40f9-92b2-b6939228feb9,2025-10-23 00:59:13.452719+00,32,null,null,v2.0.0,Apaixonado no Davi 😍,2,Aluno,3,PAIXÃO,4,3,PAIXÃO,3,4,INDIFERENÇA,4,4,RELACIONAMENTO,false
161,02c8f86a-4470-496e-9ad4-8c7f37f8e7dc,2025-10-23 00:57:28.893837+00,93,null,null,v2.0.0,,1,Professor,2,OTIMISMO,4,2,OTIMISMO,4,2,OTIMISMO,4,4,RELACIONAMENTO,false
160,91a38808-5fbc-4e4b-b0f8-f3307ba13bda,2025-10-23 00:52:02.27428+00,60,null,null,v2.0.0,Fui demitido estou péssimo,1,Professor,6,ANSIEDADE,3,7,TRISTEZA,3,4,INDIFERENÇA,1,3,TRABALHO,false
159,af63527e-76c4-4c9b-b31f-b671542797ee,2025-10-23 00:50:18.65668+00,24,null,null,v2.0.0,MENGÃO VAI GANHAR PORRA,2,Aluno,2,OTIMISMO,5,1,ALEGRIA,5,2,OTIMISMO,5,1,FAMILIA,false
158,d2896248-bd0a-4a55-a09e-61edaaab3a81,2025-10-23 00:49:47.574257+00,77,null,null,v2.0.0,hoje tem jogo do mengao,2,Aluno,2,OTIMISMO,4,6,ANSIEDADE,2,1,ALEGRIA,3,3,TRABALHO,false
157,f33d74f5-16ea-4e31-b7c2-58779499ec99,2025-10-23 00:47:24.74537+00,19,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,5,6,ANSIEDADE,5,3,PAIXÃO,1,1,FAMILIA,false
156,4b635ad3-4409-4675-a56f-daeff4d4a97a,2025-10-23 00:46:40.676656+00,79,null,null,v2.0.0,Barrola viado,2,Aluno,5,RAIVA,4,5,RAIVA,5,5,RAIVA,5,2,ESTUDO,false
155,7d096736-5d30-4ee5-b637-93d0ef26297e,2025-10-22 22:19:07.210515+00,30,null,null,v2.0.0,tô apaixonado numa professora muito gata,2,Aluno,3,PAIXÃO,5,7,TRISTEZA,5,1,ALEGRIA,4,4,RELACIONAMENTO,false
